trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
1,  09:40:39,  09:40:39, 600, 0, 0, 0
1,  09:44:54,  09:44:54, 601, 1, 0, 0
1,  09:48:43,  09:48:43, 603, 3, 0, 0
1,  09:49:32,  09:49:32, 604, 4, 0, 0
1,  09:50:58,  09:50:58, 605, 5, 0, 0
1,  09:54:03,  09:54:03, 606, 6, 0, 0
1,  09:55:31,  09:55:31, 607, 7, 0, 0
1,  09:57:15,  09:57:15, 608, 8, 0, 0
1,  09:59:40,  09:59:40, 609, 9, 0, 0
1,  10:01:40,  10:01:40, 610, 10, 0, 0
1,  10:02:11,  10:02:11, 611, 11, 0, 0
1,  10:02:54,  10:02:54, 612, 12, 0, 0
1,  10:04:04,  10:04:04, 613, 13, 0, 0
1,  10:06:42,  10:06:42, 614, 14, 0, 0
1,  10:07:35,  10:07:35, 615, 15, 0, 0
1,  10:08:21,  10:08:21, 616, 16, 0, 0
1,  10:09:55,  10:09:55, 617, 17, 0, 0
1,  10:11:33,  10:11:33, 618, 18, 0, 0
1,  10:12:40,  10:12:40, 619, 19, 0, 0
1,  10:14:13,  10:14:13, 620, 20, 0, 0
1,  10:15:32,  10:15:32, 621, 21, 0, 0
1,  10:15:52,  10:15:52, 622, 22, 0, 0
1,  10:16:28,  10:16:28, 623, 23, 0, 0
1,  10:19:22,  10:19:22, 624, 24, 0, 0
1,  10:20:01,  10:20:01, 625, 25, 0, 0
2,  10:20:01,  10:20:01, 700, 0, 0, 0
2,  10:28:16,  10:28:16, 701, 1, 0, 0
2,  10:31:28,  10:31:28, 702, 2, 0, 0
2,  10:32:09,  10:32:09, 703, 3, 0, 0
2,  10:32:14,  10:32:14, 704, 4, 0, 0
2,  10:33:00,  10:33:00, 705, 5, 0, 0
2,  10:34:30,  10:34:30, 706, 6, 0, 0
2,  10:35:17,  10:35:17, 707, 7, 0, 0
2,  10:36:22,  10:36:22, 708, 8, 0, 0
2,  10:36:37,  10:36:37, 709, 9, 0, 0
2,  10:38:37,  10:38:37, 710, 10, 0, 0
2,  10:40:46,  10:40:46, 711, 11, 0, 0
2,  10:45:38,  10:45:38, 712, 12, 0, 0
2,  10:48:44,  10:48:44, 713, 13, 0, 0
2,  10:48:59,  10:48:59, 714, 14, 0, 0
2,  10:51:11,  10:51:11, 715, 15, 0, 0
2,  10:52:09,  10:52:09, 716, 16, 0, 0
2,  10:54:09,  10:54:09, 717, 17, 0, 0
2,  10:55:52,  10:55:52, 718, 18, 0, 0
2,  10:56:30,  10:56:30, 719, 19, 0, 0
2,  10:58:31,  10:58:31, 720, 20, 0, 0
2,  11:04:15,  11:04:15, 721, 21, 0, 0
2,  11:16:08,  11:16:08, 722, 22, 0, 0
3,  09:59:40,  09:59:40, 609, 9, 0, 0
3,  10:01:40,  10:01:40, 610, 10, 0, 0
3,  10:02:11,  10:02:11, 611, 11, 0, 0
3,  10:02:54,  10:02:54, 612, 12, 0, 0
3,  10:04:04,  10:04:04, 613, 13, 0, 0
3,  10:06:42,  10:06:42, 614, 14, 0, 0
3,  10:07:35,  10:07:35, 615, 15, 0, 0
3,  10:08:21,  10:08:21, 616, 16, 0, 0
3,  10:09:55,  10:09:55, 617, 17, 0, 0
3,  10:11:33,  10:11:33, 618, 18, 0, 0
3,  10:12:40,  10:12:40, 619, 19, 0, 0
3,  10:14:13,  10:14:13, 620, 20, 0, 0
3,  10:15:32,  10:15:32, 621, 21, 0, 0
3,  10:15:52,  10:15:52, 622, 22, 0, 0
3,  10:16:28,  10:16:28, 623, 23, 0, 0
3,  10:19:22,  10:19:22, 624, 24, 0, 0
3,  10:20:01,  10:20:01, 625, 25, 0, 0
4,  10:20:01,  10:20:01, 700, 0, 0, 0
4,  10:28:16,  10:28:16, 701, 1, 0, 0
4,  10:31:28,  10:31:28, 702, 2, 0, 0
4,  10:32:09,  10:32:09, 703, 3, 0, 0
4,  10:32:14,  10:32:14, 704, 4, 0, 0
4,  10:33:00,  10:33:00, 705, 5, 0, 0
4,  10:34:30,  10:34:30, 706, 6, 0, 0
4,  10:35:17,  10:35:17, 707, 7, 0, 0
4,  10:36:22,  10:36:22, 708, 8, 0, 0
4,  10:36:37,  10:36:37, 709, 9, 0, 0
4,  10:38:37,  10:38:37, 710, 10, 0, 0
4,  10:40:46,  10:40:46, 711, 11, 0, 0
4,  10:45:38,  10:45:38, 712, 12, 0, 0
4,  10:48:44,  10:48:44, 713, 13, 0, 0
5,  09:59:40,  09:59:40, 609, 9, 0, 0
5,  10:01:40,  10:01:40, 610, 10, 0, 0
5,  10:02:11,  10:02:11, 611, 11, 0, 0
5,  10:02:54,  10:02:54, 612, 12, 0, 0
5,  10:04:04,  10:04:04, 613, 13, 0, 0
5,  10:06:42,  10:06:42, 614, 14, 0, 0
5,  10:07:35,  10:07:35, 615, 15, 0, 0
5,  10:08:21,  10:08:21, 616, 16, 0, 0
5,  10:09:55,  10:09:55, 617, 17, 0, 0
5,  10:11:33,  10:11:33, 618, 18, 0, 0
5,  10:12:40,  10:12:40, 619, 19, 0, 0
5,  10:14:13,  10:14:13, 620, 20, 0, 0
5,  10:15:32,  10:15:32, 621, 21, 0, 0
5,  10:15:52,  10:15:52, 622, 22, 0, 0
5,  10:16:28,  10:16:28, 623, 23, 0, 0
5,  10:19:22,  10:19:22, 624, 24, 0, 0
5,  10:20:01,  10:20:01, 625, 25, 0, 0
6,  10:20:01,  10:20:01, 700, 0, 0, 0
6,  10:28:16,  10:28:16, 701, 1, 0, 0
6,  10:31:28,  10:31:28, 702, 2, 0, 0
6,  10:32:09,  10:32:09, 703, 3, 0, 0
6,  10:32:14,  10:32:14, 704, 4, 0, 0
6,  10:33:00,  10:33:00, 705, 5, 0, 0
6,  10:34:30,  10:34:30, 706, 6, 0, 0
6,  10:35:17,  10:35:17, 707, 7, 0, 0
6,  10:36:22,  10:36:22, 708, 8, 0, 0
6,  10:36:37,  10:36:37, 709, 9, 0, 0
6,  10:38:37,  10:38:37, 710, 10, 0, 0
6,  10:40:46,  10:40:46, 711, 11, 0, 0
6,  10:45:38,  10:45:38, 712, 12, 0, 0
6,  10:48:44,  10:48:44, 713, 13, 0, 0
7,  10:45:12,  10:45:12, 100, 0, 0, 0
7,  10:52:34,  10:52:34, 101, 1, 0, 0
7,  10:54:00,  10:54:00, 102, 2, 0, 0
7,  11:00:20,  11:00:20, 103, 3, 0, 0
7,  11:02:28,  11:02:28, 104, 4, 0, 0
7,  11:08:39,  11:08:39, 105, 5, 0, 0
7,  11:11:28,  11:11:28, 106, 6, 0, 0
7,  11:14:24,  11:14:24, 107, 7, 0, 0
7,  11:17:02,  11:17:02, 108, 8, 0, 0
8,  10:19:41,  10:19:41, 200, 0, 0, 0
8,  10:22:09,  10:22:09, 201, 1, 0, 0
8,  10:24:26,  10:24:26, 202, 2, 0, 0
8,  10:30:31,  10:30:31, 203, 3, 0, 0
8,  10:34:17,  10:34:17, 204, 4, 0, 0
8,  10:37:07,  10:37:07, 205, 5, 0, 0
8,  10:41:06,  10:41:06, 206, 6, 0, 0
8,  10:45:12,  10:45:12, 207, 7, 0, 0
9,  10:45:12,  10:45:12, 100, 0, 0, 0
9,  10:52:34,  10:52:34, 101, 1, 0, 0
9,  10:54:00,  10:54:00, 102, 2, 0, 0
9,  11:00:20,  11:00:20, 103, 3, 0, 0
9,  11:02:28,  11:02:28, 104, 4, 0, 0
9,  11:08:39,  11:08:39, 105, 5, 0, 0
9,  11:11:28,  11:11:28, 106, 6, 0, 0
9,  11:14:24,  11:14:24, 107, 7, 0, 0
9,  11:17:02,  11:17:02, 108, 8, 0, 0
10,  10:19:41,  10:19:41, 200, 0, 0, 0
10,  10:22:09,  10:22:09, 201, 1, 0, 0
10,  10:24:26,  10:24:26, 202, 2, 0, 0
10,  10:30:31,  10:30:31, 203, 3, 0, 0
10,  10:34:17,  10:34:17, 204, 4, 0, 0
10,  10:37:07,  10:37:07, 205, 5, 0, 0
10,  10:41:06,  10:41:06, 206, 6, 0, 0
10,  10:45:12,  10:45:12, 207, 7, 0, 0
11,  10:24:34,  10:24:34, 800, 0, 0, 0
11,  10:27:30,  10:27:30, 801, 1, 0, 0
11,  10:28:48,  10:28:48, 802, 2, 0, 0
11,  10:29:50,  10:29:50, 803, 3, 0, 0
11,  10:30:31,  10:30:31, 804, 4, 0, 0
11,  10:31:19,  10:31:19, 805, 5, 0, 0
11,  10:33:01,  10:33:01, 806, 6, 0, 0
11,  10:34:47,  10:34:47, 807, 7, 0, 0
11,  10:35:37,  10:35:37, 808, 8, 0, 0
11,  10:36:51,  10:36:51, 809, 9, 0, 0
11,  10:37:06,  10:37:06, 810, 10, 0, 0
11,  10:37:41,  10:37:41, 811, 11, 0, 0
11,  10:38:40,  10:38:40, 812, 12, 0, 0
11,  10:39:12,  10:39:12, 813, 13, 0, 0
11,  10:39:52,  10:39:52, 814, 14, 0, 0
11,  10:41:42,  10:41:42, 815, 15, 0, 0
12,  10:41:42,  10:41:42, 900, 0, 0, 0
12,  10:47:32,  10:47:32, 901, 1, 0, 0
12,  10:48:19,  10:48:19, 902, 2, 0, 0
12,  10:49:14,  10:49:14, 903, 3, 0, 0
12,  10:49:37,  10:49:37, 904, 4, 0, 0
12,  10:52:21,  10:52:21, 905, 5, 0, 0
12,  10:55:08,  10:55:08, 906, 6, 0, 0
12,  10:57:04,  10:57:04, 907, 7, 0, 0
12,  10:58:48,  10:58:48, 908, 8, 0, 0
12,  11:00:47,  11:00:47, 909, 9, 0, 0
12,  11:01:52,  11:01:52, 910, 10, 0, 0
12,  11:02:58,  11:02:58, 911, 11, 0, 0
12,  11:04:45,  11:04:45, 912, 12, 0, 0
12,  11:06:29,  11:06:29, 913, 13, 0, 0
12,  11:07:05,  11:07:05, 914, 14, 0, 0
12,  11:08:06,  11:08:06, 915, 15, 0, 0
12,  11:09:35,  11:09:35, 916, 16, 0, 0
13,  09:55:41,  09:55:41, 300, 0, 0, 0
13,  10:12:28,  10:12:28, 301, 1, 0, 0
13,  10:13:45,  10:13:45, 302, 2, 0, 0
13,  10:15:54,  10:15:54, 303, 3, 0, 0
13,  10:16:57,  10:16:57, 304, 4, 0, 0
13,  10:18:01,  10:18:01, 305, 5, 0, 0
13,  10:19:43,  10:19:43, 306, 6, 0, 0
13,  10:20:03,  10:20:03, 307, 7, 0, 0
13,  10:20:18,  10:20:18, 308, 8, 0, 0
13,  10:21:18,  10:21:18, 309, 9, 0, 0
14,  09:23:10,  09:23:10, 400, 0, 0, 0
14,  09:29:14,  09:29:14, 401, 1, 0, 0
14,  09:30:28,  09:30:28, 402, 2, 0, 0
14,  09:33:23,  09:33:23, 403, 3, 0, 0
14,  09:37:10,  09:37:10, 404, 4, 0, 0
14,  09:38:58,  09:38:58, 405, 5, 0, 0
14,  09:42:06,  09:42:06, 406, 6, 0, 0
14,  09:44:45,  09:44:45, 407, 7, 0, 0
14,  09:55:41,  09:55:41, 408, 8, 0, 0
