stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
100,24th St. NW And Calvert St. NW,24th Street NW And Calvert Street NW,38.92347235,-77.05259844,
101,Conn. Av. NW And Calvert St. NW,Connecticut Avenue NW And Calvert Street NW,38.9235295,-77.05151343,
102,Calvert St. NW And Lanier Place NW,Calvert Street NW And Lanier Place NW,38.92342967,-77.04367089,
103,Mt. Pleasant St. NW And Irving St. NW,Mount Pleasant Street NW And Irving Street NW,38.92873331,-77.0373506,
104,Irving St. NW And 14th St. NW,Irving Street NW And 14th Street NW,38.92880662,-77.03264109,
105,14th St. NW And U St. NW,14th Street NW And U Street NW,38.91699779,-77.03195074,
106,14th St. NW And P St. NW,14th Street NW And P Street NW,38.90964762,-77.03195183,
107,K St. And 13th St. NW,K Street And 13th Street NW,38.9025224,-77.02962613,
108,I St. NW And 14th St. NW,I Street NW And 14th Street NW,38.90133823,-77.03196286,
200,I St. NW And 14th St. NW,I Street NW And 14th Street NW,38.90133823,-77.03196286,
201,14th St. NW And K St. NW,14th Street NW And K Street NW,38.90252276,-77.03195509,
202,14th St. NW And RI Av. NW,14th Street NW And RI Avenue NW,38.90883777,-77.03194927,
203,14th St. NW And U St. NW,14th Street NW And U Street NW,38.91699779,-77.03195074,
204,Columbia Rd. NW And 14th St. NW,Columbia Rd. NW And 14th Street NW,38.92753836,-77.03251635,
205,Columbia Rd. NW And 16th St. NW,Columbia Rd. NW And 16th Street NW,38.92652528,-77.03648819,
206,Columbia Rd. NW And Adams Mill Rd. NW,Columbia Road NW And Adams Mill Road NW,38.92266078,-77.04268424,
207,24th St. NW And Calvert St. NW,24th Street NW And Calvert Street NW,38.92347235,-77.05259844,
300,Union Station Parking Garage Mezzanine Level,Union Station Parking Garage at Mezzanine Level,38.89753847,-77.00617913,
301,1st St. NE And MD Av. NE (U.S. Capitol),1st Street NE And Maryland Avenue NE (U.S. Capitol),38.89096903,-77.00592451,
302,Independence Av. SE And 2nd St. SE,Independence Avenue SE And 2nd Street SE,38.88761368,-77.00351948,
303,Penn. Av. SE And 8th St. SE,Pennsylvania Avenue SE And 8th Street SE,38.88418386,-76.99496607,
