stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id
1,"WISCONSIN AVE NW & RIVER RD NW",,38.949019,-77.080369,8
3,"9TH STREET AT RAILROAD AVE",,39.008222,-76.780363,8
9,"14TH AV & LANGLEY WY",,38.990257,-76.984353,5
10,"14TH AV & LANGLEY WY",,38.990479,-76.984519,5
11,"14TH AV & KANAWHA ST",,38.988320,-76.983581,5
12,"15TH AV & UNIVERSITY BV",,38.984708,-76.981045,5
13,"15TH AV & UNIVERSITY BV",,38.985571,-76.981371,5
17,"23RD AV & SHERIDAN ST",,38.969746,-76.972667,5
18,"23RD AV & SHERIDAN ST",,38.969760,-76.972819,5
19,"23RD AV & WOODBERRY ST",,38.972245,-76.971757,5
21,"23RD AV & BANNING PL",,38.975295,-76.971625,5
22,"23RD AV & BANNING PL",,38.975501,-76.971787,5
23,"23RD AV & DREXEL ST",,38.977192,-76.971833,5
24,"23RD AV & DREXEL ST",,38.976805,-76.971680,5
26,"23RD AV & FORDHAM ST",,38.979556,-76.970777,5
28,"23RD PW & KENTON PL",,38.831100,-76.957628,6
29,"23RD PW & JAMESON ST",,38.832229,-76.959156,6
30,"23RD PW & JAMESON ST",,38.832404,-76.958872,6
31,"23RD PW & IVERSON ST",,38.833155,-76.959417,6
32,"23RD PKWY AT COLEBROOKE DRIVE",,38.833593,-76.960782,6
33,"23RD PW & CALLAWAY ST",,38.835931,-76.961037,6
34,"23RD PW & CALLAWAY ST",,38.835953,-76.961416,6
35,"23RD PW & FOSTER PL",,38.837673,-76.960301,6
36,"23RD PW & FOSTER PL",,38.837967,-76.960557,6
37,"23RD PW & CATSKILL ST",,38.840370,-76.961978,6
38,"23RD PW & CATSKILL ST",,38.840490,-76.962286,6
39,"23RD PW & BERKLEY ST",,38.842400,-76.964629,6
40,"25TH AV & ARUNDEL RD",,38.945722,-76.970236,5
42,"51ST ST SE & D ST SE",,38.883825,-76.928735,7
46,"51ST ST NE & CLOUD PL NE",,38.893961,-76.928381,7
66,"NW R ST & NW 7TH ST",,38.912609,-77.021936,7
72,"26TH AV & COLEBROOKE DR",,38.837961,-76.954115,6
73,"OLD BRANCH AV & OURISMAN DR",,38.830598,-76.932284,6
79,"W OLD FORT RD & GRIFF DR",,38.749261,-76.976227,9
80,"28TH AV & RIVIERA ST",,38.831269,-76.943358,6
81,"28TH AV & RIVIERA ST",,38.831497,-76.943580,6
82,"W OLD FORT RD & THORNE DR",,38.749228,-76.976333,9
83,"W OLD FORT RD & OLD FORT PL",,38.746776,-76.972925,9
84,"W OLD FORT RD & OLD FORT PL",,38.747014,-76.973066,9
86,"28TH AV & ST BARNABAS RD",,38.830390,-76.941679,6
87,"28TH AV & ST BARNABAS RD",,38.831187,-76.941790,6
89,"S OLD FORT RD & FRONTIER CT",,38.744151,-76.972840,9
90,"28TH PW & 27TH AV",,38.845650,-76.960427,6
91,"28TH PL & UPSHUR ST",,38.943100,-76.968635,5
92,"28TH PL & UPSHUR ST",,38.943223,-76.968584,5
93,"S OLD FORT RD & POWDER HORN DR",,38.740166,-76.973596,9
94,"28TH PL & RUSSELL AV",,38.944484,-76.971110,5
95,"S OLD FORT RD & THORNTON DR",,38.739996,-76.973827,9
96,"WISCONSIN AVE & ALBEMARLE ST NW",,38.947750,-77.079402,9
97,"38TH AV & PARKWOOD ST",,38.936655,-76.952041,5
98,"38TH AV & PARKWOOD ST",,38.936425,-76.952059,5
99,"S OLD FORT RD & THOMAS RD",,38.736859,-76.975435,9
100,"S OLD FORT RD & VALLEY VIEW DR",,38.735544,-76.975679,9
101,"38TH ST & PERRY ST",,38.937740,-76.954178,5
102,"38TH ST & PERRY ST",,38.937696,-76.954474,5
103,"S OLD FORT RD & FOLK DR",,38.734872,-76.975931,9
104,"S OLD FORT RD & TRAFALGAR DR",,38.733634,-76.975854,9
105,"38TH ST & RHODE ISLAND AV",,38.939414,-76.955301,5
106,"38TH ST & BUNKER HILL RD",,38.939406,-76.956066,5
107,"38TH ST & SHEPHERD ST",,38.940346,-76.956323,5
108,"38TH ST & SHEPHERD ST",,38.940362,-76.956168,5
109,"38TH ST & UTAH ST",,38.942820,-76.956548,5
111,"38TH AV & VOLTA ST",,38.944497,-76.956534,5
113,"38TH ST & WINDOM RD",,38.946912,-76.956734,5
114,"38TH ST & WINDOM RD",,38.947271,-76.956778,5
115,"38TH ST & ALLISON ST",,38.948038,-76.956640,5
116,"38TH ST & ALLISON ST",,38.948487,-76.956411,5
121,"38TH AV & HAMILTON ST",,38.952918,-76.954835,5
122,"38TH AV & HAMILTON ST",,38.952855,-76.954998,5
