trip_id,start_time,end_time,headway_secs
15043438_merged_41982225,06:00:00,07:59:59,900
15043529_merged_41982180,22:00:00,24:00:00,900
15043349_merged_41982339,08:00:00,21:59:59,600
15043701_merged_41982641,06:00:00,08:29:59,450
15043664_merged_41983050,06:30:00,21:59:59,600
15043698_merged_41982380,05:00:00,05:59:59,900
15043683_merged_41982114,22:00:00,25:00:00,900
15043185_merged_41983116,10:00:00,25:00:00,900
15043185_merged_41982404,22:00:00,25:00:00,900
15043433_merged_41982226,22:00:00,24:00:00,900
15043760_merged_41982488,15:00:00,18:29:59,450
15043577_merged_41982242,06:00:00,08:29:59,450
14985414,04:45:00,21:59:59,900
15043089_merged_41983341,05:00:00,07:59:59,900
14890389,14:00:00,17:59:59,600
15043636_merged_41983206,03:00:00,18:29:59,450
15043204_merged_41982207,08:00:00,21:59:59,600
15177406,04:15:00,04:44:59,1800
15177408,04:45:00,21:59:59,900
14890479,14:00:00,17:59:59,600
15043597_merged_41982783,08:30:00,14:59:59,600
15043445_merged_41982143,08:00:00,21:59:59,600
15189590,04:45:00,21:59:59,900
15043288_merged_41982241,22:00:00,25:00:00,900
15043193_merged_41982142,05:00:00,07:59:59,900
14890369,09:00:00,13:59:59,900
15043340_merged_41982340,06:00:00,07:59:59,900
15043445_merged_41982855,08:00:00,21:59:59,600
15043808_merged_41983141,10:00:00,25:00:00,900
15043438_merged_41982937,06:00:00,07:59:59,900
15043760_merged_41983200,03:00:00,18:29:59,450
15043204_merged_41982919,08:00:00,21:59:59,600
15043288_merged_41982953,10:00:00,25:00:00,900
15043193_merged_41982854,05:00:00,07:59:59,900
14890459,09:00:00,13:59:59,900
15043683_merged_41982826,10:00:00,25:00:00,900
14890501,18:00:00,21:59:59,900
15043574_merged_41982955,05:00:00,05:59:59,900
14890345,04:15:00,06:59:59,900
15043577_merged_41982954,06:00:00,08:29:59,450
15043710_merged_41983080,08:30:00,14:59:59,600
14985455,04:15:00,04:44:59,1800
14985457,04:45:00,21:59:59,900
15043698_merged_41983092,05:00:00,05:59:59,900
15043664_merged_41982338,18:30:00,21:59:59,600
15043433_merged_41982938,10:00:00,24:00:00,900
15043340_merged_41983052,06:00:00,07:59:59,900
14890435,04:15:00,06:59:59,900
15043089_merged_41982629,05:00:00,07:59:59,900
15043349_merged_41983051,08:00:00,21:59:59,600
15043100_merged_41983143,08:00:00,21:59:59,600
15043701_merged_41983353,06:00:00,08:29:59,450
14890447,07:00:00,08:59:59,600
15043636_merged_41982494,15:00:00,18:29:59,450
15043808_merged_41982429,22:00:00,25:00:00,900
14985413,04:15:00,04:44:59,1800
15043774_merged_41982931,06:30:00,21:59:59,600
15043774_merged_41982219,18:30:00,21:59:59,600
15043529_merged_41982892,10:00:00,24:00:00,900
15189587,04:15:00,04:44:59,1800
15043710_merged_41982368,08:30:00,14:59:59,600
15043597_merged_41982071,08:30:00,14:59:59,600
14890411,18:00:00,21:59:59,900
14890357,07:00:00,08:59:59,600
15043100_merged_41982431,08:00:00,21:59:59,600
15043574_merged_41982243,05:00:00,05:59:59,900
