stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
47.6905022,,-122.39653,35540,,,,NW 85TH ST & 31ST AVE NW,0,21
47.719841,,-122.2976,35235,,,,28TH AVE NE & NE 125TH ST,0,21
47.7193832,,-122.302246,35233,,,,NE 125TH ST & 25TH AVE NE,0,21
47.7193527,,-122.295769,35230,,,,NE 125TH ST & LK CITY WAY NE,0,21
47.7193642,,-122.298256,35231,,,,NE 125TH ST & 28TH AVE NE,0,21
47.5588989,,-122.38694,20050,,,,CALIFORNIA AVE SW & ERSKINE WAY SW,0,21
47.668251,,-122.142899,73391,,,,148TH AVE NE & NE OLD REDMOND RD,0,19
47.6156006,,-122.312668,11540,,,,15TH AVE & E PINE ST,0,21
47.6580849,,-122.272285,28990,,,,NE 41ST ST & 51ST AVE NE,0,21
47.502552,,-122.269501,55290,,,,S LEO ST & BEACON AVE S,0,21
47.6618767,,-122.354088,5980,,,,PHINNEY AVE N & N 46TH ST,0,21
47.6245308,,-122.365654,19390,,,,ELLIOTT AVE W & W MERCER ST,0,21
47.5174904,,-122.371178,22261,,,,SW ROXBURY ST & 30TH AVE SW,0,3
47.5174561,,-122.36805,22260,,,,SW ROXBURY ST & 28TH AVE SW,0,3
47.5175552,,-122.376396,22263,,,,SW ROXBURY ST & 35TH AVE SW,0,21
47.5169334,,-122.376915,22264,,,,35TH AVE SW & SW ROXBURY ST,0,21
47.4016571,,-122.249283,79236,,,,68TH AVE S & S 224TH ST,0,24
47.3999405,,-122.297234,61170,,,,PACIFIC HWY S & S 224TH ST,0,24
47.3770294,,-122.319305,48893,,,,S 251ST ST & 11TH AVE S,0,24
47.7776184,,-122.311424,82440,,,,NE 205TH ST & 58TH PL W,0,17
47.3777275,,-122.313911,48896,,,,S 250TH ST & 15TH AVE S,0,24
47.7076416,,-122.317734,82197,,,,ROOSEVELT WAY NE & NE 108TH ST,0,21
47.6846352,,-122.290634,25060,,,,35TH AVE NE & NE 77TH ST,0,21
47.6834373,,-122.143715,74019,,,,WILLOWS RD NE & NE 91ST ST,0,19
47.7077141,,-122.154083,74014,,,,WILLOWS RD NE & NE 124TH ST,0,19
47.6834488,,-122.143486,74017,,,,WILLOWS RD NE & NE 91ST ST,0,19
47.6855125,,-122.145836,74016,,,,WILLOWS RD NE & NE 95TH ST,0,19
47.6918144,,-122.150696,74011,,,,WILLOWS RD NE & NE 102ND ST,0,19
47.6913567,,-122.150749,74013,,,,WILLOWS RD NE & NE 102ND ST,0,19
47.7084351,,-122.154015,74012,,,,WILLOWS RD NE & NE 124TH ST,0,19
47.6973953,,-122.31768,82227,,,,ROOSEVELT WAY NE & NE 95TH ST,0,21
47.7180481,,-122.355423,6790,,,,GREENWOOD AVE N & N 122ND ST,0,21
47.7339096,,-122.31559,82220,,,,NE 145TH ST & 12TH AVE NE,0,20
47.5369949,,-122.280472,46130,,,,S OTHELLO ST & 42ND AVE S,0,21
47.7506294,,-122.161232,75949,,,,NE 171ST ST & 133RD AVE NE,0,19
47.7808495,,-122.297699,98310,,,,48TH AVE W & 240TH ST SW,0,17
47.7809753,,-122.297493,98315,,,,48TH AVE W & 240TH ST SW,0,17
47.4400864,,-122.19709,57290,,,,108TH AVE SE & SE 181ST ST,0,24
47.5897484,,-122.379684,99998,,,,WATER TAXI ROUTE & HARBOR AVE SW,0,21
47.6915398,,-122.16481,81544,,,,132ND AVE NE & NE 102ND PL,0,19
47.6396255,,-122.307709,25280,,,,E LYNN ST & 19TH AVE E,0,21
47.5617561,,-122.388031,32013,,,,44TH AVE SW & SW ALASKA ST,0,21
47.5612068,,-122.388115,32011,,,,SW ALASKA ST & 44TH AVE SW,0,21
47.752552,,-122.334877,16250,,,,MERIDIAN AVE N & N 170TH ST,0,18
47.5723305,,-122.296616,55831,,,,MARTIN L KING JR WAY S & S WALDEN ST,0,21
47.7599068,,-122.334839,16700,,,,MERIDIAN AVE N & N 180TH ST,0,18
47.3866005,,-122.238792,80590,,,,W JAMES ST & 4TH AVE N,0,24
47.5026436,,-122.376038,22480,,,,35TH AVE SW & SW 112TH ST,0,21
47.5477982,,-122.035324,81850,,,,SE BLK NUGGET RD & SE 62ND ST,0,19
47.5992203,,-122.301628,12010,,,,S JACKSON ST & 23RD AVE S,0,21
47.5714722,,-122.140244,64670,,,,SE NEWPORT WAY & 151ST AVE SE,0,19
47.6556892,,-122.334183,26390,,,,N 40TH ST & MERIDIAN AVE N,0,21
47.6687469,,-122.332832,17250,,,,N 56TH ST & KEYSTONE PL N,0,21
47.4949532,,-122.169632,46700,,,,NE 7TH ST & QUEEN AVE NE,0,24
47.6089973,,-122.035553,81670,,,,228TH AVE SE & E MAIN ST,0,19
47.3971252,,-122.254791,57478,,,,64TH AVE S & S 228TH ST,0,24
47.3948555,,-122.254776,57479,,,,64TH AVE S & S 231ST ST,0,24
47.5416183,,-122.23452,63022,,,,W MERCER WAY & EDEN LN W,0,19
47.4116096,,-122.254929,57475,,,,64TH AVE S & S 212TH ST,0,24
47.4082985,,-122.254791,57476,,,,64TH AVE S & S 216TH ST,0,24
47.4004364,,-122.254791,57477,,,,64TH AVE S & S 226TH ST,0,24
47.3867378,,-122.225266,57470,,,,E JAMES ST & JASON AVE N,0,24
47.3979912,,-122.238831,57471,,,,76TH AVE S & S 228TH ST,0,24
47.3942375,,-122.237396,57472,,,,4TH AVE N & S 228TH ST,0,24
47.402832,,-122.238808,57473,,,,76TH AVE S & S 228TH ST,0,24
47.4232635,,-122.460579,46792,,,,VASHON HWY SW & SW 204TH ST,0,39
47.4230766,,-122.460388,46791,,,,VASHON HWY SW & SW 204TH ST,0,39
47.4995499,,-122.330154,49568,,,,S 116TH ST & 3RD AVE S,0,24
47.4994011,,-122.326721,49565,,,,S 116TH ST & 5TH AVE S,0,24
47.5015144,,-122.326584,49564,,,,5TH AVE S & 4TH PL S,0,24
47.4994125,,-122.329468,49567,,,,S 116TH ST & 3RD AVE S,0,24
47.4995384,,-122.326927,49566,,,,S 116TH ST & 5TH AVE S,0,24
